ID,Nama,Jenis Kelamin,Usia,Nilai Matematika,Nilai IPA,Nilai IPS,Nilai Bahasa Indonesia,Nilai Bahasa Inggris,Nilai TIK,Minat Sains,Minat Bahasa,Minat Sosial,Minat Teknologi,Potensi
351,Gita Wahyudi,L,15,65,83,80,90,86,66,5,1,4,4,Bahasa
352,Eka Utami,P,14,73,92,82,99,70,89,4,3,3,3,Bahasa
353,Fajar Nur,P,13,66,85,82,100,77,62,4,3,5,4,Bahasa
354,Indra Santoso,P,14,70,95,82,84,67,84,4,5,4,5,Sains
355,Dewi Kusuma,L,13,71,77,63,94,75,70,3,4,1,5,Bahasa
356,Citra Santoso,P,15,69,90,71,97,63,89,2,4,5,4,Bahasa
357,Indra Pratama,P,14,78,79,84,61,84,71,2,5,1,1,Sains
358,Eka Saputra,P,14,93,99,85,83,100,71,3,2,4,1,Sains
359,Indra Utami,P,15,90,97,72,72,85,91,1,3,1,5,Sains
360,Citra Putri,P,13,70,94,70,89,93,78,4,5,4,2,Bahasa
361,Gita Nur,L,13,71,83,77,78,100,70,1,4,2,5,Bahasa
362,Citra Wahyudi,L,14,87,75,72,70,73,83,1,4,3,1,Sains
363,Dewi Wahyudi,P,12,76,75,81,62,99,80,3,2,3,2,Bahasa
364,Fajar Pratama,L,15,67,70,68,81,96,63,3,1,3,1,Bahasa
365,Budi Putri,P,15,70,67,94,69,88,84,5,3,5,5,Bahasa
366,Hana Wijaya,L,15,64,84,66,66,65,80,2,4,3,4,Sains
367,Dewi Utami,L,13,68,68,64,90,80,91,2,1,5,1,Bahasa
368,Andi Pratama,P,13,96,95,92,64,98,80,5,5,5,5,Sains
369,Citra Saputra,P,15,65,67,76,81,81,81,5,3,5,5,Bahasa
370,Fajar Kusuma,L,14,69,70,69,83,89,75,1,2,4,3,Bahasa
371,Dewi Wijaya,P,15,98,97,80,65,65,84,1,4,5,4,Sains
372,Hana Rahma,L,15,79,100,71,79,74,76,2,2,5,2,Sains
373,Gita Saputra,P,14,74,83,61,88,97,84,5,5,4,3,Bahasa
374,Gita Pratama,L,14,80,80,100,86,100,78,5,3,5,2,Bahasa
375,Dewi Putri,P,12,96,81,85,75,68,62,3,4,3,2,Sains
376,Dewi Santoso,P,15,68,89,68,66,94,74,2,2,1,5,Bahasa
377,Fajar Putri,P,12,76,100,91,72,90,89,5,4,4,2,Sains
378,Dewi Putri,L,15,79,70,87,90,75,72,1,4,3,5,Bahasa
379,Fajar Nur,L,14,97,86,64,93,60,93,2,3,1,2,Sains
380,Gita Santoso,P,12,62,69,80,86,85,68,4,5,4,5,Bahasa
381,Citra Kusuma,P,14,79,99,74,90,92,67,5,4,1,4,Bahasa
382,Fajar Rahma,L,15,74,69,71,92,62,77,3,3,4,4,Bahasa
383,Andi Pratama,P,12,73,76,82,67,98,77,2,1,4,4,Bahasa
384,Hana Utami,P,14,65,89,74,74,95,82,4,4,2,5,Bahasa
385,Budi Nur,P,14,83,80,92,88,83,66,5,5,3,4,Bahasa
386,Budi Utami,L,14,93,75,90,64,73,91,5,2,2,3,Sains
387,Citra Rahma,P,13,83,94,95,65,82,95,1,2,4,2,Sains
388,Andi Kusuma,L,12,66,62,95,95,74,76,5,2,1,3,Bahasa
389,Citra Putri,P,12,70,98,65,80,82,82,1,2,5,5,Sains
390,Gita Utami,P,12,63,78,82,63,77,65,2,3,5,1,Sains
391,Andi Utami,L,12,95,98,88,94,100,83,2,5,3,1,Bahasa
392,Eka Rahma,P,13,70,95,86,97,61,71,1,5,3,4,Sains
393,Dewi Utami,P,14,60,69,87,87,65,65,5,3,5,3,Bahasa
394,Indra Kusuma,P,15,84,92,72,65,69,88,5,3,5,1,Sains
395,Joko Rahma,L,14,92,63,75,99,91,87,2,2,4,1,Bahasa
396,Citra Pratama,P,12,88,83,87,76,93,89,2,4,4,2,Sains
397,Budi Kusuma,P,12,82,71,100,68,94,80,3,3,5,2,Bahasa
398,Eka Nur,L,13,89,80,78,61,90,87,1,2,2,4,Sains
399,Gita Kusuma,P,15,86,89,100,81,93,92,3,4,5,4,Sains
400,Budi Pratama,L,14,68,98,66,66,88,84,5,5,3,1,Sains
401,Citra Kusuma,L,14,68,66,63,62,81,76,1,2,2,5,Bahasa
402,Citra Rahma,P,14,66,60,82,73,64,66,5,4,4,4,Bahasa
403,Hana Wahyudi,L,13,65,92,79,84,67,85,3,1,5,4,Sains
404,Eka Putri,L,14,92,91,88,66,79,88,3,3,4,5,Sains
405,Budi Rahma,L,15,64,66,63,67,83,84,3,5,3,2,Bahasa
406,Eka Wijaya,L,12,85,100,95,68,87,83,5,5,5,4,Sains
407,Dewi Pratama,L,12,71,60,60,92,76,91,4,3,2,5,Bahasa
408,Dewi Rahma,L,13,67,65,87,95,69,62,5,2,5,4,Bahasa
409,Hana Putri,L,13,72,100,94,71,98,76,5,3,2,5,Sains
410,Eka Pratama,L,13,83,95,96,95,79,74,4,5,5,5,Sains
411,Dewi Wahyudi,P,15,60,84,76,63,96,91,3,5,1,1,Bahasa
412,Budi Wahyudi,L,12,63,77,70,98,80,95,2,1,5,1,Bahasa
413,Joko Wijaya,L,13,69,68,85,95,83,86,3,1,2,3,Bahasa
414,Andi Wijaya,P,12,66,64,91,78,81,93,4,5,3,3,Bahasa
415,Citra Nur,L,15,100,91,78,62,60,80,2,4,5,5,Sains
416,Gita Kusuma,L,15,89,100,71,99,70,84,5,1,4,3,Sains
417,Andi Wijaya,L,12,96,78,60,61,70,82,2,5,1,1,Sains
418,Budi Kusuma,L,13,82,80,71,80,92,96,1,3,5,3,Bahasa
419,Joko Utami,P,13,82,74,72,62,81,79,3,1,2,3,Sains
420,Indra Wijaya,L,13,70,68,84,85,62,86,5,1,4,3,Bahasa
421,Fajar Saputra,L,15,95,97,72,92,65,78,5,2,2,5,Sains
422,Citra Kusuma,L,14,74,87,86,78,79,88,3,3,1,2,Sains
423,Dewi Pratama,L,14,86,85,76,91,82,91,1,2,1,2,Bahasa
424,Budi Pratama,P,15,79,61,73,89,79,79,2,4,5,2,Bahasa
425,Hana Rahma,L,15,85,69,70,88,63,68,5,5,5,1,Sains
426,Gita Wijaya,P,12,100,72,87,80,60,95,1,3,4,4,Sains
427,Eka Santoso,P,12,67,98,86,71,66,74,2,3,4,2,Sains
428,Hana Wijaya,L,14,80,80,96,97,99,77,1,1,4,5,Bahasa
429,Budi Santoso,L,12,89,79,97,85,68,63,5,2,3,5,Sains
430,Indra Wijaya,P,14,60,73,86,73,64,64,1,3,2,3,Bahasa
431,Joko Putri,L,15,91,78,100,89,96,70,5,3,5,3,Bahasa
432,Andi Wahyudi,P,14,90,84,73,78,66,61,3,1,5,1,Sains
433,Dewi Utami,P,13,77,72,68,99,92,76,1,4,5,2,Bahasa
434,Andi Utami,L,12,84,78,83,71,69,68,3,2,1,3,Sains
435,Hana Wahyudi,P,12,67,95,94,90,71,66,4,3,4,3,Sains
436,Gita Saputra,L,13,83,96,68,71,100,84,4,2,5,4,Sains
437,Fajar Nur,P,12,88,85,92,89,83,89,4,1,2,2,Sains
438,Indra Utami,P,14,97,62,67,78,93,80,5,4,1,3,Bahasa
439,Joko Rahma,L,12,76,82,89,83,72,77,4,4,4,1,Sains
440,Joko Wijaya,P,14,90,78,87,100,83,62,3,5,1,3,Bahasa
441,Hana Kusuma,P,13,87,96,95,97,96,62,2,2,1,2,Bahasa
442,Gita Wijaya,P,15,65,99,74,93,85,85,3,5,5,2,Bahasa
443,Hana Rahma,P,15,67,61,90,71,61,76,3,2,4,4,Bahasa
444,Joko Utami,L,13,77,93,73,92,75,88,2,2,3,4,Sains
445,Andi Wahyudi,L,14,60,62,80,79,86,72,3,2,4,2,Bahasa
446,Budi Utami,L,12,82,95,62,85,78,82,5,4,1,2,Sains
447,Eka Pratama,L,15,78,67,66,74,68,66,4,1,3,4,Sains
448,Fajar Saputra,P,13,81,64,64,65,67,95,5,5,3,1,Sains
449,Eka Wahyudi,P,14,62,92,69,70,61,60,5,3,1,3,Sains
450,Fajar Putri,P,14,74,84,89,88,91,77,3,1,2,3,Bahasa
451,Hana Rahma,P,12,71,74,81,80,88,96,4,4,5,2,Bahasa
452,Eka Wahyudi,L,14,64,63,61,62,94,69,4,5,2,2,Bahasa
453,Indra Wijaya,L,14,97,63,69,97,71,84,3,2,1,3,Bahasa
454,Gita Putri,P,12,73,81,77,74,84,100,2,1,2,4,Bahasa
455,Fajar Wahyudi,P,14,84,89,62,63,95,62,2,5,3,1,Sains
456,Eka Rahma,P,14,73,79,70,68,83,60,2,2,4,4,Sains
457,Joko Kusuma,P,12,67,100,72,60,73,93,2,2,2,2,Sains
458,Citra Saputra,P,13,74,92,77,68,82,95,3,1,2,3,Sains
459,Andi Rahma,P,15,71,100,92,95,99,86,1,2,1,2,Bahasa
460,Indra Santoso,L,14,81,79,79,78,84,65,1,1,2,2,Bahasa
461,Joko Santoso,P,13,85,62,61,98,100,85,2,2,4,1,Bahasa
462,Joko Saputra,P,12,61,82,60,72,61,81,4,4,2,5,Sains
463,Budi Wijaya,P,13,89,67,66,72,63,69,3,5,4,1,Sains
464,Eka Putri,P,13,79,97,81,82,91,97,1,4,4,3,Sains
465,Hana Rahma,P,12,76,96,85,77,72,60,1,3,2,1,Sains
466,Budi Rahma,L,14,88,99,86,98,87,76,3,4,1,5,Sains
467,Hana Santoso,L,12,70,90,92,62,61,82,1,5,3,2,Sains
468,Gita Kusuma,L,13,78,61,97,61,85,96,5,1,1,4,Bahasa
469,Andi Wahyudi,P,12,67,68,86,61,72,65,1,4,1,2,Bahasa
470,Indra Putri,P,15,81,90,66,62,75,69,2,2,5,3,Sains
471,Budi Kusuma,P,13,72,97,79,84,82,63,3,2,1,5,Sains
472,Eka Kusuma,L,15,77,88,70,63,92,99,3,4,5,5,Sains
473,Andi Putri,P,13,92,74,79,88,97,99,5,5,1,2,Bahasa
474,Dewi Saputra,P,12,75,80,88,63,82,87,5,4,4,4,Sains
475,Budi Santoso,L,14,66,65,83,68,76,68,5,2,1,5,Bahasa
476,Indra Wijaya,L,15,67,80,88,84,92,78,3,1,5,5,Bahasa
477,Gita Rahma,P,15,75,65,98,63,91,85,1,2,1,2,Bahasa
478,Citra Saputra,L,13,99,96,77,79,69,76,3,4,5,3,Sains
479,Eka Saputra,L,14,83,85,88,80,80,94,5,2,4,4,Sains
480,Gita Rahma,L,13,78,73,98,75,97,89,2,1,3,5,Bahasa
481,Indra Utami,P,15,96,78,94,93,64,97,5,5,5,4,Sains
482,Andi Pratama,L,13,89,68,82,66,72,61,1,5,1,2,Sains
483,Joko Pratama,L,12,80,88,78,65,78,98,2,5,3,4,Sains
484,Fajar Utami,L,14,66,99,88,95,70,80,4,1,5,5,Sains
485,Eka Wahyudi,P,13,65,81,75,97,63,77,5,4,5,1,Bahasa
486,Dewi Wijaya,L,13,75,69,63,63,74,74,4,1,5,2,Sains
487,Hana Nur,L,15,96,94,93,60,76,72,4,1,1,3,Sains
488,Joko Wijaya,L,12,77,67,92,98,70,91,2,5,4,4,Bahasa
489,Joko Wahyudi,P,13,85,95,72,84,61,78,4,3,1,4,Sains
490,Joko Saputra,L,12,79,91,66,88,72,68,4,2,4,5,Sains
491,Andi Putri,P,15,66,85,86,86,79,63,2,3,1,2,Bahasa
492,Budi Kusuma,L,15,65,73,99,84,67,84,5,1,1,2,Bahasa
493,Hana Pratama,L,14,64,66,81,87,61,64,4,4,4,5,Bahasa
494,Fajar Wijaya,P,12,61,77,68,69,64,87,5,1,5,4,Sains
495,Indra Saputra,P,12,70,76,93,90,86,76,3,2,1,4,Bahasa
496,Budi Utami,L,13,78,88,96,99,79,95,4,2,1,2,Bahasa
497,Citra Utami,L,13,76,72,65,97,73,87,4,1,1,3,Bahasa
498,Budi Utami,L,13,88,61,68,78,94,100,3,5,1,3,Bahasa
499,Eka Nur,L,15,77,61,97,71,87,100,2,2,3,5,Bahasa
500,Gita Kusuma,L,15,69,89,92,99,63,73,2,2,1,1,Bahasa
